书序,书名,作者,出版社（版本）,ISBN码,内容简介,阅读要点,阅读建议,grade,编号
15.0,长鹿角的男孩,【英】约翰·尤曼,南海出版公司/爱心树,9787544280778.0,《长鹿角的男孩》是一部由约翰·尤曼和昆廷·布莱克联手创作的奇幻儿童文学作品。故事围绕着男孩比利的奇特愿望展开：他希望自己的头上能够长出鹿角。这个愿望虽然看起来不可思议，但比利坚持不懈，最终实现了自己的梦想。通过比利的故事，作者向我们展示了专注、努力和追求梦想的重要性，以及在追梦路上可能遇到的意想不到的变化和挑战。,"1、努力与可能性：关注比利如何通过努力和信念面对挑战，实现看似不可能的目标。
2、挑战与解决：思考比利在尝试实现自己愿望的过程中遇到的各种挑战。这些挑战包括外界的反应、自我怀疑以及可能的失败。
3、友谊与支持：分析比利在追求梦想的旅途中，他的家人、朋友以及周围人给予他的支持和影响。","1、画一画：如果你可以像比利一样，努力就能让奇特的事情发生，你想要什么奇特的能力？是飞翔、隐身，还是其它什么呢？用画笔记录下你的想象。
2、角色扮演：选择故事里你最喜欢的角色，装扮成他们，或者和朋友们一起玩角色扮演游戏。你会如何表达那个角色的感受呢？
3、创意写作：试着写一个故事，讲讲如果你头上长出了某样东西（可以很奇特哦），会发生什么事。你的朋友们和家人会怎么反应？这个故事会怎么发展呢？",二年级,
16.0,与众不同的男老师,【荷】达维德·威利斯特拉,人民文学出版社/天天出版社,9787501615339.0,《与众不同的男老师》讲述了一位新来的老师和他的学生们的故事。这位老师有着一脸络腮胡，带来了许多有趣和“疯狂”的想法。他会用水枪和大家玩水仗，还教大家怎么用纸做出奇特的水果模型，甚至赢得了去游乐园的机会！这位老师总是笑眯眯的，有时候会有点糊涂，但是，有络腮胡老师在的学校生活，永远都不会无聊！,"1、新奇的学习方式：留意这位有趣老师是如何用不同寻常的方式来教授课程，让学习变得更加生动有趣。
2、师生互动：关注老师和学生之间的互动，思考这种友好和轻松的氛围如何帮助你更好地学习和成长。
3、发现趣味性的地方：在阅读的时候，尝试找出书中描述的各种有趣的学校活动和创意，想象自己参与其中会是怎样的体验。","1、尝试新事物：读这本书的时候，想想你能不能也试试书里的一些有趣活动，比如自己动手做一些特别的艺术作品。
2、和朋友们分享：读完后，可以和朋友们聊聊书里的故事，看看他们有什么想法，或者一起做书里的活动。
3、想象自己是故事里的一员：想象如果你也在那个班级，会是什么样子？你最喜欢哪个活动？",二年级,
17.0,了不起的狐狸爸爸,【英】罗尔德·达尔,明天出版社,9787533259563.0,《了不起的狐狸爸爸》是一部由罗尔德·达尔所著的儿童文学作品，讲述了一只聪明机智的狐狸——狐狸爸爸的故事。为了给家里提供食物，狐狸爸爸每天晚上都要出门去偷三位农场主的鸡、鸭和火鸡。这三位农场主分别是胖嘟嘟的博吉斯先生、矮小的邦斯先生和瘦得像铅笔的比恩先生，他们决心要抓住狐狸爸爸，因此布下了一个又一个的陷阱。但是，狐狸爸爸总能够机智地躲过这些陷阱，保护自己和家人不受伤害。这个故事充满了惊险和乐趣，展现了狐狸爸爸对家庭的爱以及他的智慧和勇气。,"1、机智勇敢：关注狐狸爸爸如何通过智慧和勇气，面对农场主的追捕和陷阱，保护自己和家庭。
2、家庭亲情：理解狐狸爸爸为了家庭不惜一切代价的精神，感受家庭成员之间的爱与支持。
3、正义与邪恶：思考故事中的正义与邪恶，以及角色行为背后的道德和价值观。","1、角色扮演：在阅读故事的同时，尝试扮演狐狸爸爸或农场主，想象自己如何应对这些情况，增加阅读的互动性和乐趣。
2、讨论与分享：与家人或同学讨论狐狸爸爸的机智行为，分享你对故事的看法和你从中学到的东西。
3、深入思考：在阅读的过程中，思考狐狸爸爸采取的各种策略和计谋。你认为哪些是最聪明的？如果是你，你会怎么做？这种思考可以帮助你提高解决问题的能力。",二年级,
18.0,列那狐的故事,【法】让娜·勒鲁瓦-阿莱,云南人民出版社/果麦文化,9787222193499.0,"1、情境想象：在阅读过程中，尝试将自己置于雷梦拉的情境中，想象如果是你，会怎么做，感受她的快乐、困惑和成长。
2、日常联系：尝试在日常生活中找到与雷梦拉相似的情境，比如解决一个小问题或是和朋友互动，这样可以更深刻地理解书中的故事。
3、写信给雷梦拉：想象你和雷梦拉是朋友，给她写一封大概200字左右的信，告诉她如果你在她的故事里，你会怎么做。","1、角色特点：留意列那狐以及其他动物角色的性格特点和他们如何通过智慧或勇敢解决问题。
2、情节理解：理解各个独立故事之间的联系，以及它们如何共同构建起一个丰富多彩的动物王国。
3、道德与智慧：通过故事，思考道德、智慧和勇敢在解决冲突中的重要性。","1、想象与描绘：在阅读的过程中，尝试想象故事中的场景，甚至可以画下你心目中的动物王国或某个场景。
2、情感共鸣：尝试理解并感受故事中动物们的情感，比如他们在面对困难时的勇敢或在遇到挑战时的智慧。
3、讨论与思考：与同学或家人讨论你对列那狐和其他角色行为的看法，思考在类似情况下你会怎么做。",二年级,
19.0,谁是爱因斯坦,【美】杰斯·M.布莱利尔,北京联合出版公司,9787550215306.0,《谁是爱因斯坦》是一本专为儿童编写的传记，讲述了爱因斯坦的生平故事。爱因斯坦是现代物理学的奠基人之一，以创立相对论而闻名于世。这本书用简单易懂的语言，向孩子们介绍了爱因斯坦从小对世界的好奇心、他对科学的热爱以及他如何通过不懈的努力和思考，成为了历史上最伟大的科学家之一。书中还包含了爱因斯坦的重要科学成就和他对世界的影响，以及一些科学概念的简单解释，如相对论等。通过丰富的黑白插图，我们可以更加直观地了解爱因斯坦的生活和工作。,"1、科学家的故事：了解爱因斯坦的成长经历和他如何成为伟大的科学家。
2、科学概念：通过书中的解释，尝试理解相对论等基本科学概念。
3、探索精神：体会爱因斯坦对知识的渴望和不断探索的科学精神。","1、做个小实验：书里提到了很多爱因斯坦的科学发现，你可以尝试做一些简单的科学实验，比如用放大镜聚焦阳光看看会发生什么。
2、爱因斯坦的一天：想象一下，如果你是爱因斯坦，你会怎么度过一天呢？也许你会花很多时间思考问题，也许你会去图书馆看书，或者和朋友们讨论科学。写下或者画出你的“爱因斯坦的一天”，这样可以帮你更好地理解这位伟大科学家的生活。",二年级,
20.0,七色花,课程教材研究所,人民教育出版社,9787107333439.0,"内容简介：
《七色花》是一本精选了苏俄经典童话故事的书，包括《七色花》《十二个月》和《渔夫和金鱼的故事》。《七色花》讲述了珍妮得到一朵能实现愿望的神奇花朵的故事，通过她的冒险经历，传达了帮助他人的重要性。《十二个月》基于斯洛伐克民间故事，展现了勤劳和善良能够带来幸福。《渔夫和金鱼的故事》则通过渔夫妻子的贪婪，揭示了知足常乐的道理。这些故事不仅富有教育意义，也展现了俄罗斯文学的魅力。","1、愿望与选择：分析珍妮如何使用七色花的愿望，以及她的选择如何影响故事的发展。
2、道德教育：从《十二个月》和《渔夫和金鱼的故事》中，理解勤劳、善良与贪婪的后果。3、文化理解：通过故事了解俄罗斯的文化背景和价值观，如对自然和传统的尊重。","1、角色分析：深入分析每个故事中的角色，理解他们的动机、行为和性格特点。尝试从不同角色的视角重新讲述故事。
2、创意表达：在阅读《七色花》时，想象如果你拥有一朵七色花，你会许下怎样的愿望，并尝试绘制或描述这些愿望的实现过程。",二年级,
21.0,兔子坡,【美】罗伯特·罗素,新蕾出版社,9787530759257.0,《兔子坡》是一本关于友谊、误解和和解的故事。故事发生在一个名叫兔子坡的地方，那里住着乔奇和他的朋友们。当一家新邻居搬到兔子坡时，小动物们开始期待新的生活。新邻居给动物们带来了希望和帮助，但随着时间的推移，小动物们开始对他们产生误解。这本书讲述了乔奇和他的朋友们如何克服困难，学会理解和宽容，最终和新邻居建立了友好的关系。,"1、角色理解：关注乔奇和他的朋友们以及新邻居的性格和行为，思考他们如何影响故事的发展。
2、主题探究：理解友谊、误解、和解和宽容等主题在故事中的表现及其对我们的启示。
3、情节变化：观察故事中情节的变化，尤其是小动物们如何从误解到最终的和解，思考这过程中的感情变化。","1预测与想象：在阅读过程中，试着预测故事接下来会发生什么，想象如果你是故事中的一个角色，你会如何行动。
2、情感共鸣：尝试理解每个角色的情感，特别是当他们遇到困难和误解时，你是否能感受到他们的困惑和焦虑？
3、分角色朗读：和家人或朋友分角色朗读故事片段，这有助于你在深入理解故事角色的同时，提升语言表达能力。",二年级,
22.0,我的野生动物朋友,【法】蒂皮·德格雷,接力出版社,9787544844444.0,《我的野生动物朋友》是关于一个10岁的小女孩蒂皮的故事。蒂皮在非洲出生并长大，与许多野生动物成为了朋友，比如狮子、大象和鸵鸟。书中通过130多幅珍贵照片，记录了她与动物之间的真实互动，展示了她和这些动物之间特别的友情，也强调了人类与自然和谐共存的重要型。,"1、动物友谊：探索蒂皮是如何与各种野生动物，比如狮子、狒狒和猎豹成为朋友的故事。
2、野外生活：了解蒂皮在非洲野外的日常生活，包括她是如何与动物们互动的。
3、保护自然：通过蒂皮的经历，认识到保护野生动物和自然环境的重要性。","1、想象你是蒂皮：在读的时候，想象自己是蒂皮，与野生动物一起玩耍。
2、学习动物知识：书中有很多关于动物的知识，你可以去查一查资料，了解更多关于这些动物的知识。
3、观察自然：和家长一起到户外，观察周围的动物和自然环境，试着与书中蒂皮的经历做比较。",二年级,
23.0,一起长大的玩具,金波,人民教育出版社,9787107333460.0,《一起长大的玩具》是一本温馨动人的故事集，由中国著名的儿童文学作家金波撰写，收录了一系列关于童年和玩具的短篇故事。这些故事讲述了孩子们与他们心爱的玩具之间的深厚情感，以及在成长过程中经历的喜怒哀乐。玩具不仅是孩子们玩耍的伙伴，更是他们情感寄托的象征，伴随着他们一起成长，教会了他们友谊、责任和珍惜。书中的故事触及了人生、人性和成长等深刻话题，以优美的文字带给我们心灵成长的力量。,"1、想象力培养：注意故事中如何通过玩具激发孩子们的想象力和创造力，以及这些想象如何转化为解决问题的能力。
2、情感联系：关注故事中孩子们与玩具之间的情感纽带，理解这种联系对孩子们成长的重要性。
3、成长变化：观察故事中的孩子们如何随着时间的推移而成长，他们的玩具在这个过程中扮演了怎样的角色。","1、分享个人经历：与朋友互相分享自己与玩具的故事，讨论玩具对你们的意义，以及你们从这些经历中学到了什么。
2、珍惜与感恩：思考如何珍惜现有的玩具，以及如何对待不再使用但曾经陪伴过自己的玩具。",二年级,
24.0,给爸爸的漂流瓶,【德】休伯特·希尔内克,新蕾出版社,9787530755389.0,《给爸爸的漂流瓶》是一本由德国作家休伯特·希尔内克创作的儿童文学作品，故事讲述了汉娜对远在海上工作的爸爸的深深思念。汉娜的爸爸是一位海洋学家，长年在印度洋上工作。为了与爸爸保持联系，汉娜决定写下一封封充满爱意的长信，然后把它们装入漂流瓶中，通过渔民扬森先生的帮助，将这些漂流瓶投向印度洋，希望它们能够漂流到爸爸的身边。这个故事不仅展现了一个孩子对父亲满溢的思念，还展示了她面对挑战的勇气以及她敢于尝试的精神。,"1、情感表达：关注汉娜如何通过写信和漂流瓶这个特殊方式来表达她对爸爸的思念与爱。思考情感表达的多样性及其重要性。
2、勇气与尝试：汉娜虽然面临着不确定性，但她仍然选择相信和尝试。从她的行为中学习如何面对困难和不确定的情况。
3、家庭的意义：通过故事了解家庭成员间的情感联系如何跨越空间的距离，思考家庭对每个人的重要性。","1、写信给亲爱的人：仿照汉娜，尝试给远方的家人或朋友写一封信。在这个数字化的时代，一封手写的信件能够传递深深的情感和温暖。
2、制作自己的漂流瓶：与家人一起制作漂流瓶，可以是对未来的期望，对某个特别人的思念，或是对自己的提醒。这个活动不仅增加了家庭成员间的互动，也能激发你的创造力和想象力。",二年级,
25.0,我想养一只鸭子,陈诗哥,山东文艺出版社,9787532961528.0,《我想养一只鸭子》是一本由中国儿童文学作家陈诗哥创作的长篇童话故事。这本书通过一个刚来到世界上的小鸭子的视角，讲述了它对世界的好奇探索和对生命意义的思考。小鸭子在四处走动中，遇到了许多新奇的事物和朋友，它们一起玩耍，一起思考快乐是什么，甚至想象如果变成其他动物会怎样。这本书以独特的目录结构和丰富的想象力，展现了一个充满童趣和哲理的世界。,"1、角色特点：注意小鸭子的性格和行为，思考它如何通过与其他动物的互动来学习和成长。
2、主题理解：故事中蕴含着对快乐、友谊和自我认知的探索，理解这些主题如何在小鸭子的经历中体现。
3、情节预测：在阅读过程中，尝试预测小鸭子的下一步行动，这有助于提高你的想象力和逻辑思维。","1、想象与预测：在阅读时，尝试将自己想象成小鸭子，想象如果是你，你会怎么做，这样可以增加阅读的趣味性。
2、情感共鸣：体会小鸭子在探索世界时的喜悦和困惑，这可以帮助你更好地理解故事中的情感和经历。
3、深入思考：故事结束后，思考小鸭子的经历对你有什么启示，比如关于如何面对生活中的新事物和挑战。",二年级,
26.0,青草国的鹅,汤汤,浙江少年儿童出版社,9787559715036.0,《青草国的鹅》是一部童话作品，这本书通过精美的插画和深情的故事，探讨了爱与被爱的主题。故事讲述了10岁女孩草婴的平凡生活突然被一只来自青草国的大白鹅搅乱。被鹅追着咬下的一口，不仅开启了她生命中的一份秘密，也颠覆了她的生活。一边是现实中的亲情与梦想，一边是青草国的身世与责任，面对两个世界两种截然不同的身份，草婴展开了一段充满奇幻与现实交织的冒险，并且最终做出了自己的选择。,"1、留意草婴的变化：在阅读时，要注意观察草婴从一个普通女孩到发现自己青草国身份的变化，以及她如何应对这些改变。
2、关注青草国的奇幻元素：青草国充满了奇幻和神秘，注意理解这些元素如何与草婴的成长和选择交织在一起。
3、探索亲情与成长的主题：故事中既有现实世界的亲情和梦想，也有青草国的身世和责任。思考这些主题在草婴的生活中是如何呈现的。","1、用心感受：读这本书的时候，想象你是草婴，感受她的勇敢和冒险。
2、和朋友分享：读完书后，可以和你的朋友或家人分享你最喜欢的部分，看看他们有什么想法。
3、画出你的青草国：用彩笔或水彩画出你心目中的青草国，看看和书里的插图有什么不一样。",二年级,
27.0,雷梦拉八岁,【美】贝芙莉·克莱瑞,新蕾出版社,9787530761250.0,《雷梦拉八岁》是一部讲述八岁女孩雷梦拉生活与成长的故事。故事发生在雷梦拉即将进入小学三年级的夏天。她是一个充满活力、喜欢吸引人注意的小女孩，但同时也害怕别人称她为“讨厌鬼”。在书中，雷梦拉经历了几个重要的生活事件，比如因为在家里挑食而被罚做晚餐，这让她理解了妈妈的辛苦；一次“鸡蛋事件”后，在学校里担心老师和同学对她的看法；以及一场生病后别出心裁的读书报告。这些经历不仅让雷梦拉学到了生活中的小智慧，也帮助她在友情、勇气等方面有了成长。,"1、雷梦拉的冒险：注意看雷梦拉是怎样解决问题的，比如她怎么做饭，怎么在学校解决困难。
2、雷梦拉的感受：在读故事时，试着想一想雷梦拉感到开心、难过或害怕的时候，你会怎么做。
3、学习怎样做朋友：雷梦拉教我们如何跟朋友相处，比如怎样帮助和尊重别人，试着像雷梦拉一样和朋友交往。","1、情境想象：在阅读过程中，尝试将自己置于雷梦拉的情境中，想象如果是你，会怎么做，感受她的快乐、困惑和成长。
2、日常联系：尝试在日常生活中找到与雷梦拉相似的情境，比如解决一个小问题或是和朋友互动，这样可以更深刻地理解书中的故事。
3、写信给雷梦拉：想象你和雷梦拉是朋友，给她写一封大概200字左右的信，告诉她如果你在她的故事里，你会怎么做。",二年级,
28.0,电话里的童话,【意】贾尼·罗大里,中国少年儿童出版社,9787514819106.0,《电话里的童话》是一本由意大利儿童文学作家贾尼·罗大里创作的故事集，包含了近70则短篇童话，这些故事的情节没有关联，彼此独立，每个故事都充满了想象力和教育意义。故事的主人公，白先生，是一名忙碌的药厂业务代表，每周六天都在外出差，但无论他身处何地，每晚九点都会准时给他的小女儿打电话，讲述一个睡前故事。这些通过电话讲述的童话故事，不仅是父亲对女儿深深的爱，也传达了丰富的想象力和生活智慧。,"1、想象力的飞翔：在阅读《电话里的童话》时，你可以发现每个故事都充满了无限的想象。尝试在脑海中画出故事中的场景，想象自己就在那个奇妙的世界里。
2、父爱如山：白先生不论多忙，都会坚持给女儿讲故事，从中你可以感受到父爱的伟大和温暖。
3、生活的智慧：这些故事虽然简短，但每一个都隐藏着生活的小智慧。阅读时，思考这些故事想要传达的信息是什么。","1、每晚一则故事：你可以像书中的小女儿一样，每晚睡前读一则故事，让美好的想象伴你入眠。
2、与家人共享：试着在家庭聚会时，分享这些故事给你的家人听，一起享受阅读的乐趣。
3、绘制故事场景简笔画：在读完每个故事后，你可以尝试将你最喜欢的场景或角色以简笔画的形式画出来，发挥你的创造力。",二年级,
29.0,小脚公主和七头大象,【奥】阿伯特·温特,新蕾出版社,9787530758861.0,《小脚公主和七头大象》是一本充满奇幻色彩的儿童图书，讲述了小脚公主与七头大象的奇妙友谊和共同历险。小脚公主赫米娜虽然身材高大健壮，却有着一双纤巧的小脚。在一个巨石阻断去路的紧急情况下，每个人都暴露出自己人性中的弱点，唯独小脚公主例外。她运用智慧为大家献计献策，与七头大象一起解决了难题。这个故事充满了幽默和讽刺，引发读者对人性和美的深层思考，传递出乐观、聪明和团结协作的信息。,"1、友谊的力量：关注小脚公主与七头大象之间如何建立起深厚的友谊，以及这种友谊如何帮助他们共同克服困难。
2、个性与团队：分析七头大象各自的个性特点，探讨它们如何互补，形成一个高效的团队。
3、解决问题的方法：观察小脚公主和大象们在面对问题时所采取的不同解决策略，理解智慧和勇气在解决问题中的作用。","1、讨论与分享：与同伴或家长讨论故事中的冒险经历，分享自己最喜欢的部分和从故事中学到的东西。
2、团队合作活动：参与“接力跑”或“拼图挑战”等需要团队合作的游戏，亲身体验合作的重要性，并将这种体验与书中的故事联系起来。",二年级,
30.0,歪歪路小学：01,【美】路易斯·萨奇尔,新星出版社/爱心树,9787513350808.0,《歪歪路小学》是一本极具创意与幽默感的儿童文学作品，由美国著名儿童文学作家路易斯·萨奇尔创作。本书讲述了发生在歪歪路小学第三十层的朱尔斯老师班上的师生故事。在这所建筑奇异的学校里，每一层只有一间教室，孩子们每天都会经历各种奇特有趣的事件。书中的老师们各有特色，学生们性格鲜明，带领读者进入一个充满奇思妙想和乐趣的世界。,"1、老师和学生的个性：关注书中老师和学生们的独特性格以及他们之间的互动，这是故事中最鲜明和吸引人的部分。
2、奇思妙想的事件：每个故事都围绕一个或多个师生之间发生的奇特事件展开，体现了作者丰富的想象力和幽默感。
3、教育理念：通过阅读，思考作者试图传达的关于教育的理念，特别是如何尊重和肯定每个孩子的个性和想法。","1、激发想象：在阅读过程中发挥自己的想象力，想象如果自己是歪歪路小学的一员，会遇到哪些有趣的事情。
2、角色扮演：选择书中的某个角色进行角色扮演，通过这种方式更深入地理解和体验故事内容。
3、讨论和创作：讨论书中的故事和角色，甚至尝试创作自己的“歪歪路小学”故事。",二年级,
31.0,玩具岛梦幻之旅,【以色列】米里亚姆·雅兰-施泰克丽丝,人民文学出版社,9787020180219.0,《玩具岛梦幻之旅》是一本富有想象力的儿童文学作品，讲述了小熊库茨、小狗鲁茨、小猫穆茨与小男孩丹尼在一个宁静的夜晚开始的不可思议的旅程。他们的目的地是洋娃娃王国，为了给受伤的洋娃娃爱丽谢娃寻找唯一的医生。这个王国位于海洋中心的一座神秘孤岛——乌莱岛，只有深海中的老鲸鱼知道如何到达。旅途中，他们将经历怎样的冒险，残缺的洋娃娃能否得到修复，构成了故事的主要线索。,"1、角色特点：留意小熊库茨、小狗鲁茨、小猫穆茨和小男孩丹尼的性格特点及他们之间的友情如何助力他们完成这段旅程。
2、情节理解：跟随故事的进展，理解他们为何要前往洋娃娃王国，以及旅途中的冒险经历对他们有什么样的影响。
3、主题思考：思考勇气、友谊和合作在故事中扮演的角色，以及这些主题对我们日常生活的启示。","1、情节预测：在阅读过程中，尝试预测下一步会发生什么，比如他们怎样才能找到老鲸鱼，洋娃娃王国会是什么样的。
2、角色联系：思考你和故事中的角色之间有什么相似之处，或者你是否有过类似的冒险经历。
3、主题应用：在生活中寻找勇气、友谊和合作的例子，与书中的情节相比较，思考这些价值观在自己生活中的重要性。",二年级,
32.0,我爸爸的小飞龙,【美】鲁思·斯泰尔斯·甘尼特,南海出版公司/爱心树,9787544265843.0,《我爸爸的小飞龙》是一本充满想象力和冒险精神的儿童文学作品，故事讲述了小男孩阿默为了救出一只被囚禁在遥远野兽岛上的小飞龙，踏上了一场惊心动魄的旅程。从野兽横行的野蛮岛到好奇心满溢的羽毛岛，再到干旱沙漠中的蓝岛，跟小飞龙一起开启超乎想象的冒险之旅。本书是《我爸爸的小飞龙》《阿默和小飞龙》《小飞龙的家》三个故事的合集完整呈现了“我爸爸”和小飞龙的冒险之旅，也传达了友谊、勇气以及面对困难不退缩的重要性。,《我爸爸的小飞龙》是一本充满想象力和冒险精神的儿童文学作品，故事讲述了小男孩阿默为了救出一只被囚禁在遥远野兽岛上的小飞龙，踏上了一场惊心动魄的旅程。从野兽横行的野蛮岛到好奇心满溢的羽毛岛，再到干旱沙漠中的蓝岛，跟小飞龙一起开启超乎想象的冒险之旅。本书是《我爸爸的小飞龙》《阿默和小飞龙》《小飞龙的家》三个故事的合集完整呈现了“我爸爸”和小飞龙的冒险之旅，也传达了友谊、勇气以及面对困难不退缩的重要性。,"1、角色扮演：想象自己是故事中的角色，比如阿默或小飞龙，讲述自己在冒险中的感受和经历。
2、创意写作：以故事中的某个场景为起点，比如“小男孩遇见老虎”的场景，编写自己的冒险故事。
3、绘制故事地图：绘制一张包含故事中重要地点和事件的地图，帮助更好地理解和回顾故事情节。",二年级,
33.0,刺猬的买卖,【保】斯拉维·斯托耶夫,中信出版社,9787521739213.0,《刺猬的买卖》讲述的是一个发生在森林中的故事，主角是一只专门贩卖仇恨的刺猬。刺猬的到来打破了森林中动物们原本和谐的生活，他利用动物们的贪婪、恐惧和不信任，让仇恨在他们之间蔓延开来。松鼠、老鼠、河狸等动物都被刺猬的言行所影响，开始做出损人利己的行为。这本书不仅仅是关于仇恨的传播，更是一个关于爱、希望和团结的故事，它让我们看到即使在最黑暗的时刻，光明总会到来。,"1、角色特点：关注刺猬如何通过巧言令色让仇恨在森林中传播，以及其他动物是如何反应的。
2、主题理解：理解仇恨如何破坏原有的和谐关系，以及爱与希望如何帮助森林中的居民重建这种关系。
3、情节推理：思考如果森林中的动物没有选择相信刺猬的话，故事会有怎样不同的发展？","1、想象与思考：想象如果你是故事中的一员，你会如何选择？是否会被刺猬的话所诱惑？
2、情感共鸣：在阅读过程中，试着感受每个动物的情绪变化，思考他们的选择背后的原因和动机是什么。
3、深入思考：思考刺猬为什么要贩卖仇恨，他的行为对森林和动物产生了哪些影响？你认为故事有什么教育意义？",二年级,
34.0,狼的故事,【美】威廉·麦克利里,二十一世纪出版社/奇想国,9787556848249.0,五岁的迈克尔在临睡前要求父亲讲一个新故事，而且还得是一个有“狼”的故事。关于“狼”的故事已经讲得太多了，这位父亲该如何出新求变呢？于是，这个故事在迈克尔的“积极参与”下，不停歇地讲了下去，从平时的睡前时间延伸到周末出游；而故事情节，则沿着读者完全无法预料的走向，自然流向远方…… 这部经典之作以父亲和孩子的对话为主要形式展开，温馨新颖。孩子的想象力和父亲的故事讲述能力紧密结合，更凸显出故事的生气勃勃。这本书不仅充满了趣味和惊喜，而且深刻展示了父子间的亲密关系，是难得的亲子经典之作。,"1、故事情节：关注父亲如何根据迈克尔的想法讲述故事，学习如何根据别人的提示来发展故事情节。
2、角色关系：注意迈克尔与父亲之间的对话和互动，感受他们之间的情感联系和亲密氛围。
3、想象力的力量：在阅读中留意故事是如何通过迈克尔的想象力和父亲的创意来一步步往前推进的，理解想象力对于创作故事的重要性。","1、发挥想象：读到迈克尔和他爸爸创作故事的部分时，你也可以暂停一下，想象如果是你，会怎样让故事继续发展。
2、共同创作：在阅读过程中，可以尝试像书中的父子一样，和家人一起创作自己的故事。每个人轮流添加情节，让故事更加丰富多彩。
3、画出你的狼：在阅读故事时，可以尝试画出你心目中的狼是什么样子，是友好的、可爱的，还是有点调皮？",二年级,
35.0,黎达动物故事,【法】黎达,浙江文艺出版社/果麦文化,9787533961602.0,《黎达动物故事》是由法国著名女作家黎达创作的一本动物小说集，集结了九篇精彩的动物故事，每一个故事都以不同的动物为主角，展现了它们独特的世界观和生活方式。从北极的海豹斯卡夫，到聪明的棕熊布布，再到自由精灵松鼠小卷毛，每个故事都充满了冒险和发现。作者通过仔细观察和深入研究，生动描绘了这些动物及其生活环境，同时融入了一百多种相关的动植物知识，让我们在阅读中既能享受故事的乐趣，又能学习到丰富的自然科学知识。,"1、角色特点：留意故事中每种动物的特性及其对故事情节的影响，例如北极探险家海豹斯卡夫、聪明的棕熊布布等。
2、自然常识：通过故事学习和认识各种动植物，如刺猬皮皮、翠鸟马蒂等在自然界的生活方式。
3、情感表达：注意故事中动物表达情感的方式，例如快乐、悲伤或恐惧，思考作者是如何通过动物的行为和反应来传达这些情感的。","1、角色特点：留意故事中每种动物的特性及其对故事情节的影响，例如北极探险家海豹斯卡夫、聪明的棕熊布布等。
2、自然常识：通过故事学习和认识各种动植物，如刺猬皮皮、翠鸟马蒂等在自然界的生活方式。
3、情感表达：注意故事中动物表达情感的方式，例如快乐、悲伤或恐惧，思考作者是如何通过动物的行为和反应来传达这些情感的。",二年级,
36.0,原来如此的故事,【英】吉卜林,天津人民出版社/果麦文化,9787201163215.0,《原来如此的故事》是由吉卜林编写的一系列寓言故事集。这些故事通过动物角色揭示了自然界和人类文明的一些起源，比如骆驼的驼峰、豹子的斑点、大象的长鼻子等，既有教育意义又非常有趣。通过幽默而富有想象力的叙述，吉卜林用轻松欢快的语言为我们提供了一个了解世界的独特视角。,"1、动物的秘密：读这本书的时候，你可以发现很多动物有趣的秘密，它们为什么会长成现在这个样子。
2、学到新知识：每个故事后面都有一个小小的道理，告诉我们为什么要勇敢、好奇，还有怎样和朋友们相处。
3、想象力大发挥：故事里的动物会说话，还有很多奇妙的事情发生。你可以想象自己是故事中的一个角色，和它们一起冒险。","1、画出故事中的场景：读完故事后，你可以画画，把故事中你印象最深刻的场景或者动物画出来。
2、编一个属于你的故事：想象如果你在故事里，会发生什么？你可以自己编一个新的故事，也许是关于你最喜欢的动物！",二年级,
37.0,我和小姐姐克拉拉（彩乌鸦系列）,【德】迪米特尔·茵可夫,二十一世纪出版社,9787539130170.0,《我和小姐姐克拉拉》讲述的是小男孩“我”与小姐姐克拉拉精力充沛、异想天开的趣事。他们的日常充满了笑料和童趣，从想要开一个跳蚤马戏团到误把小动物染色，每个故事都充满了趣味和暖心的家庭爱。这些故事展示了他们天真烂漫、充满创意的一面，同时也是一部深受孩子们喜爱的童心童趣的文学作品。,"1、创意和想象：注意小男孩和克拉拉如何使用他们的想象力把日常生活变得更加有趣和不寻常。
2、家庭和爱：思考故事中展现的家庭温情和相互之间的爱，这是故事想要展现给我们的重要部分。
3、成长的趣事：读完故事，思考童年时期的趣事和挑战是如何帮助孩子们学习和成长的。","1、分享读后感：读完书后，和家人或同学分享你最喜欢的故事和角色，讨论为什么喜欢他们，可以增进亲子和同伴间的交流。
2、创意绘画：在读到有趣的场景或故事时，尝试画出你的想象图，用颜色和线条表达故事给你的感受和想象。
3、口述故事：选择书中你喜欢的人物角色，为你的朋友或家人讲述他（她）的故事，体验书中的快乐时光。",二年级,
